Temperature,G6,G7,G8,G9,G10,G11,G12,G13,G14,H6,H7,H8,H9,H10,H11,H12,H13,H14,I6,I7,I8,I9,I10,I11,I12,I13,I14,J6,J7,J8,J9,J10,J11,J12,J13,J14
74,3533.052434,3496.532884,3456.345346,3512.732334,3417.689921,3521.999436,3577.759122,3483.816116,3570.709863,3437.777659,3502.908859,3506.889609,3485.713324,3510.140647,3515.133666,3533.445485,3520.463979,3553.650606,3561.588176,3492.24526,3491.109502,3559.427868,3504.609715,3542.092597,3507.607862,3630.000326,3602.819966,3546.363511,3465.800822,3444.597339,3524.883802,3553.228292,3529.201759,3491.373987,3583.293931,3562.62778
74.2,3527.555796,3490.586857,3451.263759,3507.300433,3412.956327,3516.367854,3572.383916,3478.091856,3565.712644,3432.660151,3497.09701,3501.12113,3480.284348,3504.857663,3509.306229,3527.886802,3515.0827,3548.455803,3556.292289,3486.496644,3486.037982,3553.806815,3499.267528,3536.097616,3501.860399,3624.012401,3597.141719,3540.421683,3460.114481,3439.685893,3519.238915,3547.899513,3523.73296,3486.14457,3577.46085,3556.692555
74.4,3522.024469,3484.593229,3446.281448,3501.839536,3408.148678,3510.770233,3567.121003,3472.785737,3560.813753,3427.63957,3491.458476,3495.531931,3474.801831,3499.602191,3503.608345,3522.314808,3509.65565,3543.04546,3550.978813,3480.803261,3480.66286,3548.073994,3493.807034,3530.047942,3496.130794,3618.200755,3591.471411,3534.633817,3454.669481,3434.707484,3513.632677,3542.581827,3518.44908,3480.88373,3571.35398,3550.909385
74.6,3516.444507,3478.703807,3441.344099,3496.286849,3403.12954,3505.129391,3561.699465,3467.432892,3555.78213,3422.554987,3485.856687,3490.05987,3469.342498,3494.354681,3497.83558,3516.585332,3504.042189,3537.400173,3545.600613,3475.095194,3475.201051,3542.333457,3488.065462,3524.167862,3490.419779,3612.666581,3585.789133,3528.786155,3449.008029,3429.49706,3508.149607,3537.070572,3512.780321,3475.350859,3565.342515,3545.192516
74.8,3511.058338,3473.03283,3436.197945,3490.879583,3398.066246,3499.485406,3556.224089,3462.253703,3550.778852,3417.36833,3480.326004,3484.72659,3463.807961,3489.075838,3492.285478,3510.767121,3498.275983,3531.680234,3540.071359,3469.595855,3469.624244,3536.557843,3482.448832,3518.461864,3484.594573,3607.044542,3580.053276,3522.940849,3443.368094,3424.314138,3502.536515,3531.422181,3506.792815,3469.836291,3559.540349,3539.682355
75,3505.583978,3467.453591,3431.275832,3485.482536,3393.143478,3493.921396,3550.699169,3457.190646,3545.634882,3412.214095,3474.939906,3479.266935,3458.463347,3483.836019,3486.878429,3504.76655,3492.690669,3525.990512,3534.664285,3464.308438,3464.150113,3530.931999,3477.145426,3512.652218,3478.965339,3601.261635,3574.388651,3517.24171,3437.907535,3419.116281,3496.967334,3525.758041,3500.864009,3464.185826,3553.776142,3534.448337
75.2,3500.084109,3461.993383,3426.306029,3480.05446,3388.354125,3488.359078,3545.081923,3451.988126,3540.447196,3407.070899,3469.512671,3473.775073,3453.170175,3478.460917,3481.545682,3499.058818,3487.095903,3520.18512,3529.206065,3459.34783,3458.813132,3525.335604,3471.892306,3506.969651,3473.501485,3595.469518,3568.677958,3511.763637,3432.590246,3414.12597,3491.407644,3519.935798,3494.922945,3458.157541,3548.056401,3529.619221
75.4,3494.569069,3456.630368,3421.466809,3474.843081,3383.661222,3482.763947,3539.628188,3446.522287,3535.175132,3401.709036,3463.976962,3468.175189,3448.082296,3473.266047,3476.232,3493.236398,3481.307543,3514.425976,3523.533268,3454.297082,3453.741059,3519.870455,3466.543975,3501.457717,3467.918923,3589.309911,3562.894453,3506.265281,3427.095009,3409.215287,3485.859535,3514.063567,3488.909101,3452.080652,3542.430462,3524.614836
75.6,3489.074768,3451.115908,3416.539024,3469.908539,3379.318006,3477.216406,3534.298306,3441.138655,3530.03454,3396.295632,3458.499711,3462.474873,3443.02943,3467.95003,3470.967296,3487.432852,3475.76686,3508.825705,3517.930018,3449.255121,3449.149088,3514.330263,3461.424652,3495.900008,3462.098632,3582.935513,3557.205525,3500.728579,3421.680413,3404.611159,3480.211187,3508.503263,3483.130091,3446.033397,3536.787651,3519.513274
75.8,3483.57323,3445.663412,3411.491698,3464.871218,3374.815039,3471.496158,3528.930222,3435.657672,3524.815704,3390.970477,3452.951463,3456.517964,3438.140538,3462.508256,3465.451086,3481.808812,3470.511074,3503.073916,3512.455896,3444.051052,3444.64173,3508.66781,3456.253085,3490.45393,3456.299544,3576.653272,3551.528434,3495.225112,3416.311027,3399.978482,3474.68485,3503.070175,3477.473708,3440.120778,3531.189921,3514.257193
76,3477.965691,3440.063738,3406.396119,3460.035827,3370.228407,3465.698778,3523.655569,3430.122161,3519.841968,3385.558024,3447.404356,3450.532053,3433.023947,3457.176065,3459.667326,3476.467238,3465.200999,3497.382037,3506.790235,3438.503545,3439.971594,3503.06247,3450.755645,3485.0365,3450.472059,3570.482766,3545.841426,3489.712861,3410.769615,3395.434351,3469.082044,3497.710876,3471.985305,3434.333875,3525.492809,3508.681861
76.2,3472.331303,3434.358169,3401.338913,3455.111472,3365.586577,3459.790801,3518.616405,3424.500674,3514.820524,3380.077611,3441.843415,3444.749398,3428.004477,3452.005573,3453.849529,3471.01729,3459.916499,3491.597045,3501.115821,3432.781815,3435.235458,3497.541569,3445.329397,3479.728828,3444.544093,3564.443565,3540.182927,3484.177477,3405.296906,3390.678732,3463.711023,3492.540867,3466.583272,3428.920229,3519.723426,3502.90937
76.4,3466.6693,3428.668681,3396.132502,3449.994554,3360.920361,3453.945046,3513.462845,3418.938432,3509.911343,3374.697402,3436.334879,3439.177105,3422.675173,3446.718554,3447.708121,3465.618557,3454.842079,3486.106971,3495.718414,3427.136417,3430.447326,3491.985622,3440.140089,3474.578971,3438.79944,3558.683365,3534.605417,3478.665734,3399.754929,3385.983325,3458.287396,3487.602096,3461.254795,3423.496531,3513.968155,3497.226077
